,eos,rho_c,M,M_0,R,Omega,Omega_p,T/W,J,I,Phi_2,h_plus,h_minus,Z_p,Z_b,Z_f,omega_c/Omega,r_e,r_ratio,Omega_pa,Omega+,u_phi,TW,omega_c_over_Omega,Omega_plus
812,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,551642000000000.0,1.46209,1.612,13.1818,0.0,0.92013,,0.0,0.0,0.0,0.0,0.0,0.21922,0.21922,0.21922,,0.297515,1.0,0.92013,,5.06648,0.0,0.0,0.92013
813,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,550642000000000.0,1.45085,1.59876,13.172,0.0,0.917674,,0.0,0.0,0.0,0.0,0.0,0.217232,0.217232,0.217232,,0.297727,1.0,0.917674,,5.02916,0.0,0.0,0.917674
814,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,549642000000000.0,1.44503,1.5912,13.1649,0.0,0.916506,,0.0,0.0,0.0,0.0,0.0,0.216148,0.216148,0.216148,,0.297811,1.0,0.916506,,5.00857,0.0,0.0,0.916506
815,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,548642000000000.0,1.43649,1.5808,13.1564,0.0,0.914675,,0.0,0.0,0.0,0.0,0.0,0.214614,0.214614,0.214614,,0.297958,1.0,0.914675,,4.97974,0.0,0.0,0.914675
816,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,547642000000000.0,1.42793,1.5704,13.1479,0.0,0.912833,,0.0,0.0,0.0,0.0,0.0,0.213084,0.213084,0.213084,,0.298104,1.0,0.912833,,4.95099,0.0,0.0,0.912833
817,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,546642000000000.0,1.41936,1.56,13.1394,0.0,0.910979,,0.0,0.0,0.0,0.0,0.0,0.211556,0.211556,0.211556,,0.29825,1.0,0.910979,,4.92234,0.0,0.0,0.910979
818,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,545642000000000.0,1.41079,1.54961,13.1308,0.0,0.909114,,0.0,0.0,0.0,0.0,0.0,0.210031,0.210031,0.210031,,0.298395,1.0,0.909114,,4.89377,0.0,0.0,0.909114
819,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,544642000000000.0,1.4022,1.53922,13.1222,0.0,0.907237,,0.0,0.0,0.0,0.0,0.0,0.208508,0.208508,0.208508,,0.298539,1.0,0.907237,,4.8653,0.0,0.0,0.907237
820,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,543642000000000.0,1.39361,1.52883,13.1135,0.0,0.905347,,0.0,0.0,0.0,0.0,0.0,0.206989,0.206989,0.206989,,0.298683,1.0,0.905347,,4.83691,0.0,0.0,0.905347
821,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,542642000000000.0,1.38502,1.51845,13.1049,0.0,0.903445,,0.0,0.0,0.0,0.0,0.0,0.205472,0.205472,0.205472,,0.298826,1.0,0.903445,,4.80862,0.0,0.0,0.903445
